round,passages,links,undefined,endings,cycles,dead,asymmetries
1,40,60,17,5,0,10,1
2,66,98,17,5,0,27,1
3,83,123,14,5,0,27,2
4,97,143,8,5,0,25,3
5,105,154,9,5,0,33,2
6,114,167,7,5,0,42,2
7,121,178,9,5,0,32,2
8,130,192,12,5,0,41,2
9,142,211,12,5,0,28,4
10,154,231,15,5,0,39,4
11,169,255,13,5,0,53,5
12,182,270,2,5,0,27,6
13,184,270,0,5,0,29,6
14,191,288,3,5,0,6,5
15,194,294,5,5,0,9,5
16,199,304,0,5,0,3,6
17,199,307,0,5,0,0,6
18,205,320,7,5,0,9,3
19,212,334,9,5,0,8,4
20,221,351,13,5,0,17,5
21,234,370,14,5,0,30,5
22,248,389,12,5,0,44,5
23,260,406,9,5,0,23,5
24,269,419,8,5,0,30,5
25,277,433,9,5,0,19,5
26,286,447,10,5,0,28,5
27,296,463,11,5,0,30,5
28,307,479,11,5,0,29,5
29,318,502,13,5,0,15,7
30,331,526,12,5,0,24,7
31,343,541,1,5,0,31,8
32,344,545,0,5,0,0,8
33,341,543,2,5,0,11,4
34,343,545,1,5,0,1,5
35,344,546,0,5,0,0,6
36,347,550,1,5,0,0,6
37,348,552,0,5,0,0,6
38,345,550,0,5,0,0,7
39,348,555,1,5,0,0,7
40,349,557,0,5,0,0,8
41,347,553,0,5,0,0,8
42,348,555,4,5,0,14,7
43,352,560,0,5,0,0,7
44,353,562,1,5,0,1,4
45,354,563,0,5,0,0,5
46,356,560,0,5,0,0,3
47,352,553,0,5,0,0,3
48,353,551,1,5,0,3,1
49,354,553,0,5,0,0,1
50,353,552,0,5,0,0,2
FINAL,353,552,0,5,0,0,2
1,353,552,0,5,0,0,2
2,357,560,5,5,0,6,1
3,366,575,2,5,0,2,3
4,368,575,0,5,0,4,3
5,369,579,0,5,0,0,3
6,375,582,1,5,0,1,3
7,376,584,1,5,0,0,4
8,377,585,0,5,0,0,4
9,381,593,1,5,0,3,4
10,382,595,0,5,0,0,5
FINAL,382,595,0,5,0,0,5
1,382,595,0,5,0,0,5
2,382,595,0,5,0,0,4
3,386,581,0,5,0,14,3
4,375,585,1,5,0,0,4
5,376,586,0,5,0,0,4
6,375,581,1,5,0,0,3
7,376,582,0,5,0,0,3
8,377,584,1,5,0,8,3
9,378,586,0,5,0,0,3
10,375,579,3,5,0,4,1
11,378,585,0,5,0,0,3
12,364,565,5,5,0,4,2
13,369,572,0,5,0,0,2
14,366,566,1,5,0,0,1
15,367,568,0,5,0,0,1
16,367,568,0,5,0,0,1
17,368,569,0,5,0,0,2
18,368,568,0,5,0,0,2
19,368,569,0,5,0,0,2
20,365,565,0,5,0,0,3
21,378,587,0,5,0,0,1
22,376,584,3,5,0,2,2
23,379,589,0,5,0,0,2
24,387,600,0,5,0,0,2
25,386,599,0,5,0,0,2
26,392,608,0,5,0,0,2
27,392,608,0,5,0,0,2
28,392,608,0,5,0,0,2
29,394,611,1,5,0,0,1
30,395,613,2,5,0,1,1
31,397,615,0,5,0,0,2
32,397,614,0,5,0,0,2
33,398,616,0,5,0,0,2
34,398,616,0,5,0,0,2
35,399,617,0,5,0,0,2
36,399,617,0,5,0,0,1
37,400,618,0,5,0,0,2
38,398,616,1,5,0,1,2
39,399,617,0,5,0,0,2
40,403,621,0,5,0,0,1
41,403,621,0,5,0,0,1
42,404,622,0,5,0,0,1
1,404,622,0,5,0,0,1
2,403,621,1,5,0,1,0
3,404,622,0,5,0,0,0
FINAL,404,622,0,5,0,0,0
