round,passages,links,undefined,endings,cycles,dead,asymmetries
1,110,129,9,18,0,24,4
2,119,142,10,19,0,30,5
3,129,156,8,20,0,21,7
4,137,160,4,22,0,25,7
5,141,168,2,22,0,24,7
6,143,170,1,22,0,26,7
7,144,172,1,22,0,27,8
8,145,174,1,22,0,28,8
9,146,175,0,22,0,29,8
10,148,174,2,22,0,10,9
11,150,178,1,22,0,6,10
12,151,180,0,22,0,6,10
13,154,188,2,22,0,3,11
14,156,191,2,22,0,1,11
15,158,195,3,22,0,3,12
16,161,198,3,22,0,6,12
17,164,200,1,23,0,2,12
18,165,201,1,23,0,3,12
19,166,203,2,23,0,4,12
20,168,205,0,23,0,0,12
21,175,216,4,23,0,2,10
22,179,223,5,23,0,5,10
23,184,231,3,23,0,4,11
24,187,231,0,24,0,2,11
25,196,243,2,24,0,7,11
26,198,243,0,26,0,0,11
27,202,248,0,26,0,0,7
28,205,249,2,26,0,2,5
29,207,251,0,26,0,0,6
30,210,254,0,26,0,0,4
31,213,261,4,26,0,6,3
32,217,269,4,26,0,1,5
33,221,275,3,26,0,1,5
34,224,281,3,26,0,1,5
35,227,285,0,26,0,0,5
36,225,282,3,26,0,8,3
37,228,285,0,26,0,0,6
38,230,286,1,26,0,12,4
39,231,286,0,26,0,13,4
40,233,290,0,26,0,0,3
41,232,289,0,26,0,0,1
42,232,289,0,26,0,0,1
43,232,289,0,26,0,0,1
44,235,292,2,26,0,2,2
45,237,295,2,26,0,3,2
46,239,299,1,26,0,0,3
47,240,301,1,26,0,0,3
48,241,303,1,26,0,0,4
49,241,303,1,26,0,0,4
50,242,305,1,26,0,0,5
FINAL,242,305,1,26,0,0,5
