round,passages,links,undefined,endings,cycles,dead,asymmetries
1,34,50,11,4,0,6,0
2,45,76,19,4,0,13,1
3,64,110,16,4,0,22,1
4,80,135,16,4,0,34,1
5,96,156,7,8,4,8,5
6,103,156,0,10,4,12,5
7,103,152,0,10,0,12,1
8,106,162,0,11,0,0,1
9,105,159,3,11,0,9,1
10,108,159,0,11,0,12,1
11,110,169,0,11,0,0,1
12,110,169,0,11,0,0,1
13,114,175,0,11,0,0,1
14,113,173,1,11,0,2,0
15,114,176,0,11,0,0,1
16,114,176,0,11,0,0,1
17,114,176,0,11,0,0,1
18,114,175,0,11,0,0,1
19,114,175,0,11,0,0,1
20,114,175,0,11,0,0,1
21,114,175,0,11,0,0,1
22,114,174,0,11,0,0,0
FINAL,114,174,0,11,0,0,0
