round,passages,links,undefined,endings,cycles,dead,asymmetries
1,73,126,33,9,1,14,1
2,104,194,26,9,1,14,1
3,130,248,3,9,0,1,4
4,133,255,7,9,0,4,4
5,140,269,9,9,0,6,4
6,149,284,5,9,0,2,4
7,154,292,5,9,0,2,4
8,159,299,2,9,0,2,4
9,161,302,1,9,0,0,4
10,162,303,0,9,0,0,4
11,165,304,0,11,0,0,2
12,165,303,0,11,0,0,2
13,167,306,0,12,0,0,1
14,166,300,0,12,0,1,2
15,167,305,2,12,0,1,2
16,169,309,0,12,0,0,3
17,169,309,0,12,0,0,2
18,169,309,0,12,0,0,2
19,169,309,0,12,0,0,2
20,166,303,0,12,0,0,1
21,167,304,0,12,0,0,0
FINAL,167,304,0,12,0,0,0
